3647,5636,4593,3689,5286,112703,2026,999,1058
3342,6756,2778,116115,2735,5187,111624,4070,1717
773,3576,2979,1928,117749,3182,7812,112729,1997
2334,10627,5239,3728,5376,4700,3283,2424,2548
11456,11889,2142,659,9107,622,2733,1781,985
1797,3642,4514,2748,4865,4147,4740,2513,3067
2702,3122,5277,114179,3434,4065,3926,1954,4313
3409,6386,2968,7180,3527,2270,2507,3086,1041
7861,5300,3692,2792,57132,3410,2734,2263,2259
2988,114564,6665,4314,2674,4096,9200,2236,109832
2984,2445,3704,1894,110074,2587,3168,862,2761
3791,1158,6838,3673,2054,3810,2811,8011,1216
3317,4210,5509,56295,3513,118030,2991,2548,989
2282,11074,5961,112921,7210,1438,3886,2221,2175
4000,3389,3291,2426,3796,4672,3038,2777,3487
4215,11714,5700,1794,6525,2087,118248,4101,2434
611,58309,2970,58938,5761,3354,3800,3166,1599
2891,114994,4184,5087,2619,4612,2179,1916,2260
2650,6108,4083,3745,4848,1410,1248,3686,1005
59198,4589,3161,9195,4075,3439,4273,4292,850
2660,3362,2518,3165,3392,3579,1973,1980,1345
5746,4597,4928,2344,3250,6421,1692,2539,35
57212,3804,8752,685,7934,3641,892,1212,149
4046,4531,1762,5389,5513,9734,115202,1649,1377
4273,22394,1744,5771,4892,6195,2673,1030,845
1864,9304,10545,5181,1743,2505,4109,3537,3020
3141,4878,4223,5337,3925,5052,2841,1316,272
3300,4130,4447,4309,4226,2305,3089,566,8513
5936,3436,4886,2737,1778,4073,4493,2005,824
3113,2837,65105,5107,3842,3700,4261,3112,1213
2977,2445,5086,2326,4647,2575,3266,2370,1134
4652,10143,57136,6200,3956,2865,3924,4171,33
5141,1285,798,5100,1968,3280,3120,3116,1486
2180,14884,4151,6106,4032,4568,3453,1395,311
3668,9667,14777,3522,3359,3846,1127,1958,696
3033,3010,2655,3116,10968,3116,3202,1769,1539
6116,11345,5097,3793,6185,485,4317,2943,993
3005,8578,3903,2784,3926,5579,2512,2894,727
1508,1331,3232,2477,3557,3349,2668,1015,2841
6006,3747,7399,6102,3127,2547,1690,1633,373
2373,3432,854,8940,111717,4275,4005,761,1560
3583,1644,2819,1870,2543,3246,2408,2199,2557
3187,7924,7368,6051,4280,3129,4813,2618,2547
4580,6569,4976,5184,5922,4137,2581,1086,692
5079,15110,5305,113589,3110,1273,3120,1765,913
9568,2608,8856,2525,4538,112871,1783,2315,2729
1434,5057,2878,3779,2055,1476,2193,2081,1337
1949,9489,4259,6710,4049,2358,1935,2024,1074
3678,6078,2774,533,1106,1321,4759,2951,985
1879,5813,7000,4248,3877,2013,3514,1591,1149
2759,2186,4193,2702,6548,2678,1724,3226,1390
6272,3663,4143,8938,2805,2277,1476,433,1239
758,60338,5912,4046,7078,3630,5592,1793,109689
1388,7847,1708,2297,1046,4283,2245,3952,75
49920,4950,13696,3473,3069,2648,2062,1212,2585
2563,7706,2312,5977,1384,1701,1799,112495,1597
3662,9960,8503,8344,4483,3798,3937,2725,2367
1166,4925,115472,3525,21205,2974,1976,1911,1064
