4415,8604,6986,4363,5730,2104,2502,1608,1698
3439,37017,4736,5382,3851,1187,3272,3620,1775
4338,5676,2279,5966,2257,112834,1752,5735,1751
2154,3670,5765,4584,6097,2402,3793,3529,2235
7886,2406,1904,3854,2898,2776,2185,3151,691
4133,4426,8991,8663,5135,5681,2980,6509,3008
2062,2189,871,4089,113561,6972,4873,3676,1964
3270,3137,5597,4151,1924,5441,1877,3044,109228
5714,3064,2859,2451,3566,3449,3419,1878,5611
1825,6052,2286,4973,3129,2090,3230,1565,1369
3932,9257,12764,3167,6854,5539,3028,4845,115695
2878,2412,228,3553,9888,3511,3450,1249,2395
4974,3393,6110,9224,5586,2284,839,5050,1184
57117,123510,4543,7446,4682,1233,2144,1231,1722
1591,2221,4471,5606,4377,4442,3520,3752,2995
4829,6080,5432,3581,5979,3325,3858,4812,3123
1089,112833,661,2234,3323,4848,3369,6421,1591
2559,4955,2410,4563,3071,8239,2348,2205,1545
2375,3529,2203,4662,4309,5253,3500,2529,1234
5503,4023,7310,4214,4559,3321,709,3355,476
939,7151,3982,6671,113259,3616,2722,3810,1938
1686,5377,5945,2508,2643,3452,1847,116562,1591
3127,9458,4430,5228,6207,3045,3500,1979,475
3945,5288,3014,8643,5461,3254,1711,2050,1271
1903,7942,5056,6939,3951,5172,2016,1662,569
61180,121465,1535,9014,6118,6035,2772,3484,201
2777,1613,60555,3680,113772,3910,3165,3803,574
12750,3356,9924,2820,2985,2527,3629,2574,1137
59721,6221,3438,60217,2674,112399,569,2081,447
2463,12645,112898,5424,2380,3450,12065,3163,505
3242,7585,4729,3043,2256,3493,5429,3330,893
1537,2491,4492,7255,1849,1925,2358,380,1578
8425,7968,4566,5333,3091,2453,4099,1869,1405
1328,7310,1328,1807,4345,3315,117499,603,350
4600,9280,5747,3824,556,5873,6241,1379,110141
501,867,1737,1411,2449,4426,2427,2741,2412
4629,4556,2762,10199,2665,10943,4730,1306,559
3909,9665,7169,5256,4174,5311,2639,2096,114981
2036,4777,8759,10898,6455,2663,3650,112973,931
3449,119632,5228,7812,1877,3117,1432,2946,1541
5432,3862,4472,7911,2199,2673,3552,1420,2010
2196,8317,6991,1678,4045,4902,2365,513,926
4709,3230,8596,6040,4653,4332,1498,2121,311
4345,120877,10135,3463,6688,1624,3274,2548,81
11871,7631,3436,2682,2472,1746,4333,1139,1907
3519,6568,8594,4329,1911,2476,1626,115195,1207
5601,5714,6781,113014,1478,3563,2897,2249,3126
4064,4598,3345,3895,5628,116981,6872,1713,1255
1501,3648,2113,3540,6574,2945,2364,2906,1843
38318,3235,8110,4584,2385,2872,2710,2421,1649
5237,5836,4050,1499,5617,2569,3078,4638,341
60418,25027,3769,5090,2384,3152,4750,1551,1321
62052,4391,1882,4361,1748,111631,3855,314,752
3299,4052,9026,152,3961,3496,1559,2002,1211
4736,3292,5832,3889,6616,3844,2116,2548,2117
2065,2592,3045,3702,4595,2494,4687,1861,2297
1997,6196,5436,115994,10893,3788,2853,1338,1519
1958,6371,3503,4479,5783,5881,2667,110793,224
