3670,62540,4423,6744,5571,2455,3839,2314,789
58240,4874,4350,113330,2597,5421,3995,4710,1042
3297,4107,1611,5602,3823,227526,4116,4486,2847
2630,3737,3267,2237,4999,4842,2879,3464,3942
1951,10240,117900,9613,8459,1981,1783,2954,704
3876,4286,4734,6031,5093,6490,2012,4020,4662
538,9285,6136,4187,8197,4212,3395,5456,1776
2592,3342,5444,3262,5622,6747,3635,1717,2674
4204,5595,3590,5800,3150,1434,2551,6193,109383
4481,12385,58968,5705,585,4802,5708,3030,1771
2841,5864,2728,8477,4891,4929,2724,2023,1308
5939,13104,119403,5858,4262,3191,5634,3948,1824
56318,5210,4417,2953,1005,5561,710,2997,974
3699,1256,5000,7824,7873,3257,3584,1799,2331
3383,114393,9050,9610,1733,119041,3301,4024,484
4031,5209,5218,4901,2132,1085,1746,3172,1919
2721,4289,5071,2530,13029,2436,4663,2952,1680
2877,8047,3444,2095,3952,6045,1965,2113,3950
5315,120573,6293,2372,2534,110744,4600,3229,1656
5830,8143,4337,3210,6017,5728,4032,4707,215
3620,7840,1620,2973,3749,3025,115058,897,4865
6375,1033,4097,3758,9448,3058,2876,4341,2351
10252,2318,11217,2789,2804,5050,2022,607,1323
2366,7056,4912,3062,4226,1627,2415,1961,756
1470,13832,3892,2463,2214,2769,3262,895,587
2851,16486,2578,4264,3650,1438,4259,1446,1077
8904,5210,4282,3448,10292,1829,112005,1725,333
2808,3268,10868,4767,4529,3032,1806,2419,1259
1468,6856,14349,4887,3088,861,1736,3376,929
2780,3959,1181,117172,3751,2815,2829,2920,800
4176,7556,3846,8371,4690,119116,3810,1745,2103
2595,4306,5520,120865,6766,3341,2280,2264,228
3880,1102,5357,5322,5268,4742,1133,3045,415
7593,6135,3879,3075,6964,5828,5624,1889,1748
3441,5441,111891,5154,3291,1800,4609,736,884
56791,7140,8427,3738,5756,120555,1121,1852,1111
7676,116200,1536,6475,2727,1998,3353,111429,492
58289,9893,2993,3350,16592,5924,115970,1115,1940
6738,2820,4572,4058,5596,3847,2954,112641,1210
5051,4846,2696,7740,1644,3224,2066,2277,155
57376,11516,9844,9853,3715,4777,2846,4230,1245
5603,9575,3450,2924,3338,5053,5675,2925,853
5864,8385,5864,2032,6179,3465,4156,2697,1028
59002,4172,8237,2876,9751,3381,3750,1545,1834
3290,39797,12985,6089,6763,115151,1299,801,2239
1730,3656,1089,5007,3611,2113,111453,1217,2231
4672,4369,5361,10325,2058,2143,3392,4656,2367
2649,4505,1554,57612,4374,2806,116490,657,654
524,121433,1990,6282,2970,2772,3283,3546,507
7377,6088,2137,3118,4137,2503,5998,110039,673
2756,3716,4560,2782,8086,221319,4896,6606,2254
9902,5620,5287,3806,1901,2063,109976,2295,1245
107,3057,1811,8379,4465,2018,5165,913,115903
1563,3112,1686,3311,2055,113490,3000,1123,1989
12660,3661,12852,1840,6216,2521,1491,2325,1221
2128,1436,8426,2459,5165,3072,2347,2068,2809
3986,1946,10675,4762,2354,1790,3278,4579,1225
2255,1136,114570,1086,3881,5142,20717,2042,1271
