5359,3227,5638,4264,4755,224429,1581,115378,1397
58269,2851,3746,6392,3785,4248,5748,5225,3341
1784,3234,6795,4099,4961,5543,3841,2927,2083
2618,1243,3977,5887,3944,4702,3544,2997,1833
343,59707,123732,1811,3068,1491,1605,1397,1433
1077,5334,900,4616,5606,4131,3195,4475,2340
705,6197,5106,5328,7643,3871,1325,2344,1285
2784,3799,2309,3613,3954,110153,1198,1880,1439
4469,5464,4486,110686,3034,4218,2645,3200,2457
2752,8134,6714,4607,113037,5852,2911,4037,3352
3379,3227,1311,5200,5708,6614,1669,4320,1429
5262,1488,2611,6609,7158,11581,2663,3095,900
1313,3137,4907,3521,55631,3165,3287,3500,290
2238,5262,110815,5025,3175,3539,3949,3745,603
2303,341,1964,112403,4033,4057,119197,2562,1771
3182,2925,1069,9032,1802,2788,4918,3631,4300
3066,36679,3714,6270,59664,112478,3491,3196,1153
56604,113676,4938,7817,3761,1163,3741,3242,935
3113,13328,1759,4860,4040,4662,4201,1515,1766
3620,3606,1240,1700,6063,2423,1776,1985,418
58444,2312,6418,4055,3032,4359,2036,3802,163
31393,4073,3850,8130,3361,2703,3609,1486,1388
6211,10792,117916,110847,2001,2439,5261,1070,727
3057,4729,6650,3187,7804,6912,2841,2878,786
2058,1738,5290,4224,2611,11988,4436,115515,642
1722,11895,3582,2545,3479,3931,111815,2043,193
1359,3694,117613,5044,5604,2035,1369,7179,192
3631,4419,3547,4194,4354,3951,1733,1682,1452
6597,8005,5144,2957,4213,3378,111319,2143,947
57815,9233,11199,4463,5153,3997,2994,2313,260
2802,2845,9088,4202,5403,7584,3853,2234,280
2859,3019,2349,4899,4167,5296,3246,114232,974
2897,1556,6506,3595,5913,6524,3749,2242,1796
6822,4993,5323,7168,2912,3947,2947,2091,306
2673,2529,8380,6296,3613,3454,3056,1405,343
3675,1768,2991,1722,4181,3236,1145,2253,404
267,8391,58466,5244,254,6168,3058,1641,3410
534,9527,5824,57875,1591,2713,114524,2387,359
3276,3786,119010,10807,2197,3061,3199,1644,144
3871,5738,3398,2327,2840,3209,4070,1948,810
1736,3638,2858,112470,5403,3652,1811,2418,324
4129,3555,9949,5909,5316,5384,627,2756,3128
3365,4107,4357,4725,3513,5860,2764,261,1065
5496,7576,12907,4221,3626,4949,2655,2468,79
2263,3823,7968,2481,4496,1177,2836,2418,1155
4119,3667,1809,4487,1697,2322,3875,4013,2463
5670,4422,2754,10068,2742,822,1669,2398,1203
3971,6659,2488,2254,4388,5490,2604,2842,1644
3168,3945,4467,3799,4843,2990,1904,2395,1009
39822,118568,3021,2597,2427,3675,2857,3966,579
1916,7469,115509,3397,12261,6454,3414,2916,260
1178,59407,1899,2974,7218,1082,5250,1726,1200
40009,10683,6200,1641,4259,2923,935,2370,715
11206,2136,1713,3010,4686,2689,1509,4792,334
3795,8538,5867,3145,114398,3450,4164,2217,1418
2514,5332,8437,2554,6376,2990,3777,2875,1556
6892,4704,2818,3022,1491,1506,1657,1981,1020
12076,4118,4400,4311,5086,3179,4211,2989,1434
