7024,6113,3989,6139,5872,2592,2378,1735,1816
58309,1510,4598,4759,3358,2466,2858,2455,1420
4463,113717,6731,2513,6858,4096,3869,118445,1029
3279,3600,3790,4105,5451,3233,3067,2922,1063
7461,32147,113785,2519,7003,1557,2112,2010,437
4195,2016,4595,1549,5176,5878,1807,1469,548
1517,606,7406,2360,114939,2889,560,2697,2641
4673,9626,436,2837,3071,2038,5601,1918,2750
1932,3059,2960,4322,13227,3566,110016,2665,1530
4511,4939,9549,1994,2989,4970,4461,8025,2687
4465,12831,3803,2567,2011,5606,2162,3673,1220
3630,4448,5275,3073,3374,111664,4118,2006,27
2869,3630,3507,9461,4003,2547,3026,2853,2898
4569,6280,9390,12055,757,4815,3132,1881,1456
59685,118210,1776,3579,5090,3617,2096,3987,1148
2779,1221,5939,56568,1485,3629,3079,111728,1393
59356,9969,10008,4890,2608,4088,5248,2783,1837
1558,8713,112549,2002,3989,115466,2201,5117,899
2199,2288,6374,2391,6680,4812,2581,6106,1823
3670,6594,4468,7804,4250,2831,3320,5121,1289
5847,4465,5698,6837,7756,112228,2393,3688,446
2556,10608,4429,2357,6298,113247,5114,1304,110
8258,9670,9858,3463,7476,6321,158,114352,235
1469,1728,16732,3482,1846,858,820,2185,119
2920,4870,3391,3122,7530,2116,2998,111985,0
5158,123354,1718,56414,3077,5756,2490,117409,1067
3442,5625,3823,3888,3099,114102,2784,3684,2125
5713,4767,5047,9767,2215,110815,898,3320,737
3304,8384,10099,1671,11681,3903,7846,1515,1348
6471,5561,4336,2686,3648,3631,1151,2430,767
3148,4172,5434,6230,5358,2039,2560,2122,343
7057,4565,2647,3402,6235,3836,1537,112875,477
5607,120043,3966,3464,4069,3214,8824,3123,398
5845,7876,3181,2119,4761,1818,3531,1391,1254
2031,10704,500,3728,4543,7201,1763,1655,109890
2002,4229,2511,3361,5354,4513,4840,2365,2489
3052,7360,5655,5569,3119,4640,2676,115302,1074
2455,3305,1613,2964,2979,1377,1710,1128,1419
6226,1687,8220,7058,116867,4393,1488,2001,1689
6091,11461,4735,3271,3717,4377,112427,1438,635
1325,9182,8410,10344,4544,4907,2892,2569,3198
1501,8529,1758,4660,1287,1629,110388,2994,1024
1797,114559,3503,1712,6989,3880,3141,2829,2686
8754,5388,2493,4793,6616,1904,2268,3028,1061
2350,14205,5828,4401,3437,3641,2406,1963,2098
1180,2615,3917,4771,15977,2078,1718,116506,3278
5631,5663,2550,3219,15766,4661,1069,2474,233
2540,118492,4720,1547,1084,1921,4979,1690,375
6546,6653,4855,1708,5523,1427,3972,852,1155
2010,2536,3592,3396,4006,1408,2680,2109,1386
8316,5385,7109,7474,4534,1864,3929,1366,2515
1990,2577,56682,2834,2554,4003,2287,1437,367
7254,3221,5539,3708,6859,4112,3658,1733,2639
12047,3730,4860,6282,4667,2159,3186,3641,114369
58298,3201,12671,2891,4505,4006,3132,2231,1444
5334,5624,2557,3540,3119,3003,4285,1550,993
4815,5515,6937,7775,6505,111852,2010,921,3139
3292,2451,5258,10759,6355,3878,3482,2627,1154
